Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-31946,00000418,false,Rx,0,8,EF,02,49,FE,A8,FF,24,00,
-31938,00000418,false,Rx,0,8,C7,02,69,FE,86,FF,23,00,
-31930,00000418,false,Rx,0,8,E8,02,4B,FE,5D,FF,21,00,
-31924,00000418,false,Rx,0,8,DF,02,4C,FE,A9,FF,1F,00,
-31918,00000418,false,Rx,0,8,CE,02,66,FE,72,FF,1E,00,
-31909,00000418,false,Rx,0,8,F6,02,40,FE,78,FF,1E,00,
-31904,00000418,false,Rx,0,8,D9,02,55,FE,B0,FF,21,00,
-31895,00000418,false,Rx,0,8,D8,02,61,FE,6D,FF,25,00,
-31890,00000418,false,Rx,0,8,ED,02,43,FE,96,FF,2A,00,
-32127,00000418,false,Rx,0,8,CB,02,5D,FE,9F,FF,2D,00,
-32118,00000418,false,Rx,0,8,E9,02,55,FE,72,FF,2C,00,
-32118,00000418,false,Rx,0,8,E6,02,46,FE,A8,FF,29,00,
-32115,00000418,false,Rx,0,8,CC,02,60,FE,7D,FF,27,00,
-32109,00000418,false,Rx,0,8,F1,02,51,FE,71,FF,28,00,
-32104,00000418,false,Rx,0,8,D8,02,56,FE,A6,FF,26,00,
-32097,00000418,false,Rx,0,8,D5,02,5C,FE,73,FF,21,00,
-32089,00000418,false,Rx,0,8,F9,02,43,FE,8E,FF,1D,00,
-32082,00000418,false,Rx,0,8,D8,02,59,FE,B7,FF,1F,00,
-32073,00000418,false,Rx,0,8,DC,02,5D,FE,6D,FF,28,00,
-32065,00000418,false,Rx,0,8,EC,02,52,FE,9C,FF,31,00,
-32059,00000418,false,Rx,0,8,C9,02,5F,FE,95,FF,31,00,
-32051,00000418,false,Rx,0,8,EB,02,4C,FE,70,FF,2A,00,
-32047,00000418,false,Rx,0,8,E5,02,4E,FE,B1,FF,24,00,
-32041,00000418,false,Rx,0,8,D5,02,5E,FE,7A,FF,23,00,
-32028,00000611,false,Rx,0,1,01,00,00,00,00,00,00,00,
-32022,00000418,false,Rx,0,8,F6,02,4B,FE,81,FF,27,00,
-32022,00000418,false,Rx,0,8,D8,02,62,FE,B1,FF,2B,00,
-32018,00000418,false,Rx,0,8,E1,02,5A,FE,68,FF,2B,00,
-32011,00000418,false,Rx,0,8,F6,02,4C,FE,A5,FF,29,00,
-32003,00000418,false,Rx,0,8,D3,02,62,FE,B3,FF,27,00,
-31742,00000418,false,Rx,0,8,E3,02,57,FE,68,FF,27,00,
-31732,00000418,false,Rx,0,8,EC,02,4B,FE,A7,FF,28,00,
-31723,00000418,false,Rx,0,8,CE,02,60,FE,A2,FF,27,00,
-31719,00000418,false,Rx,0,8,E7,02,5B,FE,6A,FF,25,00,
-31714,00000418,false,Rx,0,8,F1,02,48,FE,A1,FF,21,00,
-31708,00000418,false,Rx,0,8,D6,02,5D,FE,BA,FF,1F,00,
-31693,00000418,false,Rx,0,8,E5,02,60,FE,75,FF,21,00,
-31687,00000418,false,Rx,0,8,EC,02,4F,FE,9E,FF,23,00,
-31681,00000418,false,Rx,0,8,D4,02,5E,FE,A6,FF,22,00,
-31666,00000418,false,Rx,0,8,E6,02,60,FE,69,FF,1F,00,
-31661,00000418,false,Rx,0,8,F0,02,4B,FE,9F,FF,1E,00,
-31661,00000418,false,Rx,0,8,DF,02,5A,FE,B3,FF,22,00,
-31650,00000418,false,Rx,0,8,DA,02,68,FE,77,FF,27,00,
-31645,00000418,false,Rx,0,8,ED,02,4E,FE,8D,FF,27,00,
-31635,00000418,false,Rx,0,8,E5,02,4E,FE,AC,FF,22,00,
-31629,00000418,false,Rx,0,8,DB,02,6B,FE,86,FF,1E,00,
-31623,00000418,false,Rx,0,8,E8,02,4D,FE,6C,FF,1E,00,
-31619,00000418,false,Rx,0,8,EA,02,53,FE,AF,FF,21,00,
-31871,00000418,false,Rx,0,8,D6,02,6A,FE,7A,FF,23,00,
-31865,00000418,false,Rx,0,8,E1,02,4E,FE,62,FF,20,00,
-31857,00000418,false,Rx,0,8,E7,02,4E,FE,A5,FF,1E,00,
-31847,00000418,false,Rx,0,8,D2,02,6D,FE,73,FF,21,00,
-31841,00000418,false,Rx,0,8,F1,02,44,FE,7D,FF,26,00,
-31834,00000418,false,Rx,0,8,E5,02,58,FE,AC,FF,2B,00,
-31817,00000418,false,Rx,0,8,D0,02,6D,FE,72,FF,2B,00,
-31811,00000418,false,Rx,0,8,EE,02,45,FE,95,FF,26,00,
-31811,00000418,false,Rx,0,8,DD,02,62,FE,B6,FF,22,00,
-31811,00000610,false,Rx,0,2,02,0F,00,00,00,00,00,00,
-31806,00000418,false,Rx,0,8,DD,02,64,FE,5D,FF,22,00,
-31801,00000418,false,Rx,0,8,F2,02,4B,FE,9C,FF,25,00,
-31795,00000418,false,Rx,0,8,CA,02,6F,FE,8A,FF,28,00,
-31789,00000418,false,Rx,0,8,DF,02,57,FE,5B,FF,26,00,
-31780,00000418,false,Rx,0,8,EA,02,4E,FE,A4,FF,20,00,
-31776,00000418,false,Rx,0,8,CF,02,67,FE,73,FF,1C,00,
-31766,00000418,false,Rx,0,8,F3,02,4E,FE,6F,FF,1D,00,
-31761,00000418,false,Rx,0,8,E1,02,56,FE,A7,FF,22,00,
-31753,00000418,false,Rx,0,8,CE,02,68,FE,6D,FF,26,00,
-31745,00000418,false,Rx,0,8,F3,02,54,FE,8B,FF,23,00,
-31483,00000418,false,Rx,0,8,DB,02,5D,FE,AB,FF,1D,00,
-31477,00000418,false,Rx,0,8,D8,02,61,FE,6C,FF,18,00,
-31465,00000418,false,Rx,0,8,F6,02,49,FE,97,FF,1A,00,
-31458,00000418,false,Rx,0,8,D9,02,5F,FE,B3,FF,1E,00,
